model,gpu,tp,pp,dp,max_model_len,dtype,quantization,kv_cache_dtype,gpu_memory_utilization,architecture,attention_type,num_hidden_layers,num_kv_heads,head_dimension,kv_dtype_bytes,per_token_kv_bytes,per_token_kv_bytes_per_gpu,pred_weight_memory_gib,pred_activation_memory_gib,pred_non_torch_gib,pred_cuda_graph_gib,pred_total_non_kv_cache_gib,pred_kv_cache_memory_gib,pred_kv_cache_tokens,pred_max_concurrency,pred_total_weight_gib,pred_alloc_kv_total_gib
Qwen/Qwen2.5-72B-Instruct,H100-80GB,2,1,1,8192,torch.bfloat16,None,auto,0.95,Qwen2ForCausalLM,Grouped-query attention,80,8,128,2,327680,163840.0,67.7129,5.6,0.6,0.0,73.9129,4.8871,32027,3.91,135.4259,9.7741
Qwen/Qwen2.5-7B-Instruct,H100-80GB,1,1,1,8192,torch.bfloat16,None,auto,0.95,Qwen2ForCausalLM,Grouped-query attention,28,4,128,2,57344,57344.0,14.1852,5.6,0.15,0.0,19.9352,56.0648,1049789,128.15,14.1852,56.0648
Qwen/Qwen2.5-7B-Instruct,H100-80GB,1,1,1,16384,torch.bfloat16,None,auto,0.95,Qwen2ForCausalLM,Grouped-query attention,28,4,128,2,57344,57344.0,14.1852,5.6,0.15,0.0,19.9352,56.0648,1049789,64.07,14.1852,56.0648
Qwen/Qwen2.5-7B-Instruct,H100-80GB,1,1,1,32768,torch.bfloat16,None,auto,0.95,Qwen2ForCausalLM,Grouped-query attention,28,4,128,2,57344,57344.0,14.1852,5.6,0.15,0.0,19.9352,56.0648,1049789,32.04,14.1852,56.0648
Qwen/Qwen2.5-7B-Instruct,H100-80GB,1,1,1,2048,torch.bfloat16,None,auto,0.95,Qwen2ForCausalLM,Grouped-query attention,28,4,128,2,57344,57344.0,14.1852,5.6,0.15,0.0,19.9352,56.0648,1049789,512.59,14.1852,56.0648
Qwen/Qwen2.5-7B-Instruct,H100-80GB,1,1,1,4096,torch.bfloat16,None,auto,0.95,Qwen2ForCausalLM,Grouped-query attention,28,4,128,2,57344,57344.0,14.1852,5.6,0.15,0.0,19.9352,56.0648,1049789,256.3,14.1852,56.0648
Qwen/Qwen2.5-7B-Instruct,H100-80GB,2,1,1,8192,torch.bfloat16,None,auto,0.95,Qwen2ForCausalLM,Grouped-query attention,28,4,128,2,57344,28672.0,7.0926,5.6,0.6,0.0,13.2926,65.5074,2453196,299.46,14.1852,131.0148
Qwen/Qwen2.5-7B-Instruct,H100-80GB,4,1,1,8192,torch.bfloat16,None,auto,0.95,Qwen2ForCausalLM,Grouped-query attention,28,4,128,2,57344,14336.0,3.5463,5.6,0.6,0.0,9.7463,70.4537,5276861,644.15,14.1852,281.8148
Qwen/Qwen3-30B-A3B,H100-80GB,1,1,1,8192,torch.bfloat16,None,auto,0.95,Qwen3MoeForCausalLM,Grouped-query attention,48,4,128,2,98304,98304.0,56.8705,8.0,0.15,0.0,65.0205,10.9795,119925,14.64,56.8705,10.9795
Qwen/Qwen3-8B,H100-80GB,1,1,1,8192,torch.bfloat16,None,auto,0.95,Qwen3ForCausalLM,Grouped-query attention,36,8,128,2,147456,147456.0,15.2564,5.6,0.15,0.0,21.0064,54.9936,400450,48.88,15.2564,54.9936
